,words,labels,sentence_id
1,1,O,1
2,This,O,1
3,sound,O,1
4,track,O,1
5,was,O,1
6,beautiful!,B-ADJECTIVE,1
7,It,O,1
8,paints,O,1
9,the,O,1
10,senery,O,1
11,in,O,1
12,your,O,1
13,mind,O,1
14,so,O,1
15,well,O,1
16,I,O,1
17,would,O,1
18,recomend,O,1
19,it,O,1
20,even,O,1
21,to,O,1
22,people,O,1
23,who,O,1
24,hate,O,1
25,vid.,O,1
26,game,O,1
27,music!,O,1
28,I,O,1
29,have,O,1
30,played,O,1
31,the,O,1
32,game,O,1
33,Chrono,B-I-LOC,1
34,Cross,B-B-LOC,1
35,but,O,1
36,out,O,1
37,of,O,1
38,all,O,1
39,of,O,1
40,the,O,1
41,games,O,1
42,I,O,1
43,have,O,1
44,ever,O,1
45,played,O,1
46,it,O,1
47,has,O,1
48,the,O,1
49,best,O,1
50,music!,O,1
51,It,O,1
52,backs,O,1
53,away,O,1
54,from,O,1
55,crude,B-I-VERB,1
56,keyboarding,B-B-VERB,1
57,and,O,1
58,takes,O,1
59,a,O,1
60,fresher,O,1
61,step,O,1
62,with,O,1
63,grate,O,1
64,guitars,O,1
65,and,O,1
66,soulful,O,1
67,orchestras.,O,1
68,It,O,1
69,would,O,1
70,impress,O,1
71,anyone,O,1
72,who,O,1
73,cares,O,1
74,to,O,1
75,listen!,O,1
76,^_^,O,1
78,5,O,5
79,"""If",O,5
80,you've,O,5
81,played,O,5
82,the,O,5
83,"game,",O,5
84,you,O,5
85,know,O,5
86,how,O,5
87,divine,O,5
88,the,O,5
89,music,O,5
90,is!,O,5
91,Every,O,5
92,single,O,5
93,song,O,5
94,tells,O,5
95,a,O,5
96,story,O,5
97,of,O,5
98,the,O,5
99,"game,",O,5
100,it's,O,5
101,that,O,5
102,good!,O,5
103,The,O,5
104,greatest,O,5
105,songs,O,5
106,are,O,5
107,without,O,5
108,a,O,5
109,"doubt,",O,5
110,Chrono,O,5
111,Cross:,O,5
112,Time's,O,5
113,"Scar,",O,5
114,Magical,O,5
115,Dreamers:,O,5
116,The,O,5
117,"Wind,",O,5
118,The,O,5
119,"Stars,",O,5
120,and,O,5
121,the,O,5
122,Sea,O,5
123,and,O,5
124,Radical,O,5
125,Dreamers:,O,5
126,Unstolen,O,5
127,Jewel.,O,5
128,(Translation,O,5
129,varies),O,5
130,This,O,5
131,music,O,5
132,is,O,5
133,perfect,O,5
134,if,O,5
135,you,O,5
136,ask,O,5
137,"me,",O,5
138,the,O,5
139,best,O,5
140,it,O,5
141,can,O,5
142,be.,O,5
143,Yasunori,B-B-PER,5
144,Mitsuda,B-I-PER,5
145,just,O,5
146,poured,O,5
147,his,O,5
148,heart,O,5
149,on,O,5
150,and,O,5
151,wrote,O,5
152,it,O,5
153,down,O,5
154,on,O,5
155,"paper.""",B-I-LOC,5
157,6,O,6
158,"""I",O,6
159,am,O,6
160,quite,O,6
161,sure,B-I-VERB,6
162,any,O,6
163,of,O,6
164,you,O,6
165,actually,O,6
166,taking,O,6
167,the,O,6
168,time,O,6
169,to,O,6
170,read,O,6
171,this,O,6
172,have,O,6
173,played,O,6
174,the,O,6
175,game,O,6
176,at,O,6
177,least,O,6
178,"once,",O,6
179,and,O,6
180,heard,O,6
181,at,O,6
182,least,O,6
183,a,O,6
184,few,O,6
185,of,O,6
186,the,O,6
187,tracks,O,6
188,here.,O,6
189,And,O,6
190,whether,O,6
191,you,O,6
192,were,O,6
193,aware,O,6
194,of,O,6
195,it,O,6
196,or,O,6
197,"not,",O,6
198,Mitsuda's,O,6
199,music,O,6
200,contributed,O,6
201,greatly,O,6
202,to,O,6
203,the,O,6
204,mood,O,6
205,of,O,6
206,every,O,6
207,single,O,6
208,minute,O,6
209,of,O,6
210,the,O,6
211,whole,O,6
212,game.Composed,O,6
213,of,O,6
214,3,O,6
215,CDs,O,6
216,and,O,6
217,quite,O,6
218,a,O,6
219,few,O,6
220,songs,O,6
221,(I,O,6
222,haven't,O,6
223,an,O,6
224,exact,O,6
225,"count),",O,6
226,all,O,6
227,of,O,6
228,which,O,6
229,are,O,6
230,heart-rendering,O,6
231,and,O,6
232,impressively,O,6
233,"remarkable,",O,6
234,this,O,6
235,soundtrack,O,6
236,is,O,6
237,one,O,6
238,I,O,6
239,assure,O,6
240,you,O,6
241,you,O,6
242,will,O,6
243,not,O,6
244,forget.,O,6
245,It,O,6
246,has,O,6
247,everything,O,6
248,for,O,6
249,every,O,6
250,listener,O,6
251,--,O,6
252,from,O,6
253,fast-paced,O,6
254,and,O,6
255,energetic,O,6
256,(Dancing,O,6
257,the,O,6
258,Tokage,O,6
259,or,O,6
260,Termina,O,6
261,"Home),",O,6
262,to,O,6
263,slower,O,6
264,and,O,6
265,more,O,6
266,haunting,O,6
267,(Dragon,O,6
268,"God),",O,6
269,to,O,6
270,purely,O,6
271,beautifully,O,6
272,composed,O,6
273,(Time's,O,6
274,"Scar),",O,6
275,to,O,6
276,even,O,6
277,some,O,6
278,fantastic,O,6
279,vocals,O,6
280,(Radical,O,6
281,Dreamers).This,O,6
282,is,O,6
283,one,O,6
284,of,O,6
285,the,O,6
286,best,O,6
287,videogame,O,6
288,soundtracks,O,6
289,out,O,6
290,"there,",O,6
291,and,O,6
292,surely,O,6
293,Mitsuda's,O,6
294,best,O,6
295,ever.,O,6
296,"^_^""",O,6
298,7,O,7
299,"""This",O,7
300,is,O,7
301,a,O,7
302,self-published,O,7
303,"book,",O,7
304,and,O,7
305,if,O,7
306,you,O,7
307,want,O,7
308,to,O,7
309,know,O,7
310,why--read,O,7
311,a,O,7
312,few,O,7
313,paragraphs!,O,7
314,Those,O,7
315,5,O,7
316,star,O,7
317,reviews,O,7
318,must,O,7
319,have,O,7
320,been,O,7
321,written,O,7
322,by,O,7
323,Ms.,O,7
324,Haddon's,O,7
325,family,O,7
326,and,O,7
327,friends--or,O,7
328,"perhaps,",O,7
329,by,O,7
330,herself!,O,7
331,I,O,7
332,can't,O,7
333,imagine,O,7
334,anyone,O,7
335,reading,O,7
336,the,O,7
337,whole,O,7
338,thing--I,O,7
339,spent,O,7
340,an,O,7
341,evening,O,7
342,with,O,7
343,the,O,7
344,book,O,7
345,and,O,7
346,a,O,7
347,friend,O,7
348,and,O,7
349,we,O,7
350,were,O,7
351,in,O,7
352,hysterics,O,7
353,reading,O,7
354,bits,O,7
355,and,O,7
356,pieces,O,7
357,of,O,7
358,it,O,7
359,to,O,7
360,one,O,7
361,another.,O,7
362,It,O,7
363,is,O,7
364,most,O,7
365,definitely,O,7
366,bad,O,7
367,enough,O,7
368,to,O,7
369,be,O,7
370,entered,O,7
371,into,O,7
372,some,O,7
373,kind,O,7
374,of,O,7
375,a,O,7
376,"""""worst",O,7
377,"book""""",O,7
378,contest.,O,7
379,I,O,7
380,can't,O,7
381,believe,O,7
382,Amazon,O,7
383,even,O,7
384,sells,O,7
385,this,O,7
386,kind,O,7
387,of,O,7
388,thing.,O,7
389,Maybe,O,7
390,I,O,7
391,can,O,7
392,offer,O,7
393,them,O,7
394,my,O,7
395,8th,O,7
396,grade,O,7
397,term,O,7
398,paper,O,7
399,on,O,7
400,"""""To",O,7
401,Kill,O,7
402,a,O,7
403,"Mockingbird""""--a",O,7
404,book,O,7
405,I,O,7
406,am,O,7
407,quite,O,7
408,sure,O,7
409,Ms.,B-B-PER,7
410,Haddon,B-I-PER,7
411,never,O,7
412,heard,O,7
413,of.,O,7
414,"Anyway,",O,7
415,unless,O,7
416,you,O,7
417,are,O,7
418,in,O,7
419,a,O,7
420,mood,O,7
421,to,O,7
422,send,O,7
423,a,O,7
424,book,O,7
425,to,O,7
426,someone,O,7
427,as,O,7
428,a,O,7
429,joke---stay,O,7
430,"far,",O,7
431,far,O,7
432,away,O,7
433,from,O,7
434,this,O,7
435,"one!""",O,7
437,2,O,2
438,"""I'm",O,2
439,reading,O,2
440,a,O,2
441,lot,O,2
442,of,O,2
443,reviews,O,2
444,saying,O,2
445,that,O,2
446,this,O,2
447,is,O,2
448,the,O,2
449,best,O,2
450,'game,B-I-VERB,2
451,soundtrack',I-I-VERB,2
452,and,O,2
453,I,O,2
454,figured,O,2
455,that,O,2
456,I'd,O,2
457,write,O,2
458,a,O,2
459,review,O,2
460,to,O,2
461,disagree,O,2
462,a,O,2
463,bit.,O,2
464,This,O,2
465,in,O,2
466,my,O,2
467,opinino,O,2
468,is,O,2
469,Yasunori,B-B-PER,2
470,Mitsuda's,B-I-PER,2
471,ultimate,O,2
472,masterpiece.,B-B-VERB,2
473,The,O,2
474,music,O,2
475,is,O,2
476,timeless,O,2
477,and,O,2
478,I'm,O,2
479,been,O,2
480,listening,O,2
481,to,O,2
482,it,O,2
483,for,O,2
484,years,O,2
485,now,O,2
486,and,O,2
487,its,O,2
488,beauty,O,2
489,simply,O,2
490,refuses,O,2
491,to,O,2
492,fade.The,O,2
493,price,O,2
494,tag,O,2
495,on,O,2
496,this,O,2
497,is,O,2
498,pretty,O,2
499,staggering,O,2
500,I,O,2
501,must,O,2
502,"say,",O,2
503,but,O,2
504,if,O,2
505,you,O,2
506,are,O,2
507,going,O,2
508,to,O,2
509,buy,O,2
510,any,O,2
511,cd,O,2
512,for,O,2
513,this,O,2
514,much,O,2
515,"money,",O,2
516,this,O,2
517,is,O,2
518,the,O,2
519,only,O,2
520,one,O,2
521,that,O,2
522,I,O,2
523,feel,O,2
524,would,O,2
525,be,O,2
526,worth,O,2
527,every,O,2
528,"penny.""",B-ADJECTIVE,2
530,3,O,3
531,"""This",O,3
532,soundtrack,O,3
533,is,O,3
534,my,O,3
535,favorite,O,3
536,music,O,3
537,of,O,3
538,all,O,3
539,"time,",O,3
540,hands,O,3
541,down.,O,3
542,The,O,3
543,intense,O,3
544,sadness,O,3
545,of,O,3
546,"""""Prisoners",B-B-PER,3
547,of,I-B-PER,3
548,"Fate""""",B-I-PER,3
549,(which,O,3
550,means,O,3
551,all,O,3
552,the,O,3
553,more,O,3
554,if,O,3
555,you've,O,3
556,played,O,3
557,the,O,3
558,game),O,3
559,and,O,3
560,the,O,3
561,hope,O,3
562,in,O,3
563,"""""A",O,3
564,Distant,O,3
565,"Promise""""",O,3
566,and,O,3
567,"""""Girl",B-I-VERB,3
568,who,I-I-VERB,3
569,Stole,I-I-VERB,3
570,the,I-I-VERB,3
571,"Star""""",I-I-VERB,3
572,have,O,3
573,been,O,3
574,an,O,3
575,important,O,3
576,inspiration,O,3
577,to,O,3
578,me,O,3
579,personally,O,3
580,throughout,O,3
581,my,O,3
582,teen,O,3
583,years.,O,3
584,The,O,3
585,higher,O,3
586,energy,O,3
587,tracks,O,3
588,like,O,3
589,"""""Chrono",O,3
590,Cross,O,3
591,~,O,3
592,Time's,O,3
593,"Scar~"""",",O,3
594,"""""Time",O,3
595,of,O,3
596,the,O,3
597,"Dreamwatch"""",",O,3
598,and,O,3
599,"""""Chronomantique""""",O,3
600,(indefinably,O,3
601,remeniscent,O,3
602,of,O,3
603,Chrono,O,3
604,Trigger),O,3
605,are,O,3
606,all,O,3
607,absolutely,O,3
608,superb,O,3
609,as,O,3
610,well.This,O,3
611,soundtrack,O,3
612,is,O,3
613,amazing,O,3
614,"music,",O,3
615,probably,O,3
616,the,O,3
617,best,O,3
618,of,O,3
619,this,O,3
620,composer's,O,3
621,work,O,3
622,(I,O,3
623,haven't,O,3
624,heard,O,3
625,the,O,3
626,Xenogears,O,3
627,"soundtrack,",O,3
628,so,O,3
629,I,O,3
630,can't,O,3
631,say,O,3
632,for,O,3
633,"sure),",O,3
634,and,O,3
635,even,O,3
636,if,O,3
637,you've,O,3
638,never,O,3
639,played,B-ADJECTIVE,3
640,the,O,3
641,"game,",O,3
642,it,O,3
643,would,O,3
644,be,O,3
645,worth,O,3
646,twice,O,3
647,the,O,3
648,price,O,3
649,to,O,3
650,buy,O,3
651,it.I,O,3
652,wish,O,3
653,I,O,3
654,could,O,3
655,give,O,3
656,it,O,3
657,6,O,3
658,"stars.""",O,3
